county,Year,Month,ndvi
Mariposa,2009,3,0.6958500000000001
Lassen,2009,3,0.02065
Napa,2009,3,0.6881
Shasta,2009,3,0.6772
Monterey,2009,3,0.599
Trinity,2009,3,0.7133
Mendocino,2009,3,0.80655
Inyo,2009,3,0.19855
Mono,2009,3,0.0068000000000000005
Tuolumne,2009,3,0.17005
Solano,2009,3,0.38520000000000004
San Bernardino,2009,3,0.08410000000000001
Contra Costa,2009,3,0.47450000000000003
Alpine,2009,3,0.13665
El Dorado,2009,3,0.6927500000000001
Yolo,2009,3,0.6034
Yuba,2009,3,0.71355
San Benito,2009,3,0.6423
Humboldt,2009,3,0.7313500000000001
Riverside,2009,3,0.13965
Kern,2009,3,0.4752
Colusa,2009,3,0.4219
Del Norte,2009,3,0.73745
Modoc,2009,3,0.2549
