"date","county","maxtempF","mintempF","avgtempF","totalSnow_cm","humid","wind","precip","sunHour","lat","long"
"2015-05","Shasta County","75.19354838709677","45.516129032258064","67.61290322580645","0.0","55.74193548387097","3.870967741935484","0.04516129032258064","13.725806451612904","40.76","-122.03999999999998"
"2015-06","Sacramento County","91.6","61.23333333333333","81.0","0.0","46.06666666666667","5.833333333333333","0.0","14.326666666666666","38.45000000000002","-121.34000000000006"
"2015-06","Santa Barbara County","81.0","56.93333333333333","74.36666666666666","0.0","54.9","5.833333333333333","0.010000000000000002","14.43","34.539999999999985","-120.03999999999998"
"2015-06","Shasta County","91.63333333333334","56.63333333333333","82.3","0.0","41.0","4.366666666666666","0.010000000000000002","14.396666666666668","40.76","-122.03999999999998"
"2015-07","Sacramento County","92.19354838709675","63.38709677419355","82.29032258064517","0.0","49.096774193548384","6.290322580645161","0.0","13.725806451612907","38.45000000000002","-121.34000000000006"
"2015-07","Santa Barbara County","80.45161290322581","58.83870967741935","74.45161290322581","0.0","62.935483870967744","5.774193548387097","0.08709677419354839","13.17741935483872","34.539999999999985","-120.03999999999998"
"2015-07","Shasta County","91.96774193548389","58.58064516129032","83.54838709677419","0.0","43.61290322580645","4.129032258064516","0.025806451612903226","14.11935483870968","40.76","-122.03999999999998"
"2015-08","Sacramento County","92.5483870967742","62.29032258064516","81.6774193548387","0.0","49.87096774193548","5.483870967741935","0.0","11.525806451612905","38.45000000000002","-121.34000000000006"
"2015-08","Santa Barbara County","85.83870967741936","61.87096774193548","78.51612903225806","0.0","54.41935483870968","6.516129032258065","0.0","11.445161290322584","34.539999999999985","-120.03999999999998"
"2015-08","Shasta County","90.6774193548387","56.38709677419355","80.38709677419355","0.0","41.29032258064516","4.129032258064516","0.012903225806451613","11.36451612903226","40.76","-122.03999999999998"
"2015-09","Sacramento County","91.3","63.333333333333336","80.33333333333333","0.0","38.666666666666664","4.633333333333334","0.0033333333333333335","11.150000000000002","38.45000000000002","-121.34000000000006"
"2015-09","Santa Barbara County","84.8","62.8","76.9","0.0","51.166666666666664","5.466666666666667","0.013333333333333332","11.293333333333337","34.539999999999985","-120.03999999999998"
"2015-09","Shasta County","85.2","54.333333333333336","73.83333333333333","0.0","39.43333333333333","4.133333333333334","0.016666666666666666","10.973333333333334","40.76","-122.03999999999998"
"2015-10","Sacramento County","82.58064516129032","60.32258064516129","73.38709677419355","0.0","51.29032258064516","4.32258064516129","0.012903225806451613","10.729032258064514","38.45000000000002","-121.34000000000006"
"2015-10","Santa Barbara County","81.25806451612904","60.193548387096776","72.93548387096774","0.0","53.41935483870968","6.258064516129032","0.02903225806451613","11.138709677419351","34.539999999999985","-120.03999999999998"
"2015-10","Shasta County","77.48387096774194","48.64516129032258","66.03225806451613","0.0","49.29032258064516","4.064516129032258","0.016129032258064516","10.887096774193546","40.76","-122.03999999999998"
"2015-11","Sacramento County","60.9","44.2","54.1","0.0","60.6","4.7","0.10666666666666667","8.459999999999996","38.45000000000002","-121.34000000000006"
"2015-11","Santa Barbara County","68.66666666666667","46.86666666666667","59.3","0.0","49.733333333333334","6.266666666666667","0.016666666666666666","9.249999999999996","34.539999999999985","-120.03999999999998"
"2015-11","Shasta County","56.53333333333333","33.3","46.16666666666666","0.0","63.7","3.9","0.09000000000000001","8.509999999999994","40.76","-122.03999999999998"
"2015-12","Sacramento County","53.41935483870968","40.80645161290322","48.29032258064516","0.0","71.54838709677419","5.774193548387097","0.19677419354838713","7.641935483870965","38.45000000000002","-121.34000000000006"
"2015-12","Santa Barbara County","62.2258064516129","43.74193548387097","54.41935483870968","0.0","54.645161290322584","7.064516129032258","0.01935483870967742","7.86774193548387","34.539999999999985","-120.03999999999998"
"2015-12","Shasta County","45.80645161290322","30.387096774193548","39.64516129032258","0.232258064516129","84.41935483870968","3.967741935483871","0.3774193548387097","6.712903225806451","40.76","-122.03999999999998"
"2016-01","Sacramento County","55.096774193548384","44.12903225806452","50.61290322580645","0.0","80.0","6.548387096774194","0.25483870967741934","7.916129032258064","38.45000000000002","-121.34000000000006"
"2016-01","Santa Barbara County","61.903225806451616","45.12903225806452","54.64516129032258","0.0","69.38709677419355","6.548387096774194","0.16774193548387098","9.187096774193549","34.539999999999985","-120.03999999999998"
"2016-01","Shasta County","46.80645161290322","33.03225806451613","41.38709677419355","0.0","89.90322580645162","3.7096774193548385","0.7290322580645162","6.851612903225806","40.76","-122.03999999999998"
"2016-02","Sacramento County","65.03571428571429","44.96428571428572","56.892857142857146","0.0","70.85714285714286","4.678571428571429","0.04642857142857142","9.932142857142855","38.45000000000002","-121.34000000000005"
"2016-02","Santa Barbara County","73.39285714285714","49.67857142857143","63.07142857142857","0.0","47.75","6.107142857142857","0.028571428571428574","10.364285714285714","34.539999999999985","-120.03999999999998"
"2016-02","Shasta County","58.535714285714285","35.464285714285715","48.57142857142857","0.0","73.10714285714286","3.75","0.15714285714285717","9.789285714285716","40.76","-122.03999999999998"
"2016-03","Sacramento County","64.48387096774194","47.0","57.80645161290322","0.0","77.70967741935483","6.193548387096774","0.3225806451612903","9.709677419354838","38.45000000000002","-121.34000000000006"
"2016-03","Santa Barbara County","69.35483870967742","47.83870967741935","61.45161290322581","0.0","62.935483870967744","8.161290322580646","0.14193548387096774","10.925806451612909","34.539999999999985","-120.03999999999998"
"2016-03","Shasta County","57.483870967741936","37.03225806451613","49.903225806451616","0.0","81.09677419354838","5.032258064516129","0.6032258064516128","9.438709677419356","40.76","-122.03999999999998"
"2016-04","Sacramento County","70.53333333333333","48.73333333333333","63.1","0.0","68.2","5.833333333333333","0.09000000000000001","10.463333333333336","38.45000000000002","-121.34000000000006"
"2016-04","Santa Barbara County","70.73333333333333","48.766666666666666","63.266666666666666","0.0","59.56666666666667","8.133333333333333","0.023333333333333334","10.620000000000005","34.539999999999985","-120.03999999999998"
"2016-04","Shasta County","65.76666666666667","41.13333333333333","57.7","0.0","67.9","4.966666666666667","0.11666666666666667","10.473333333333334","40.76","-122.03999999999998"
"2016-05","Sacramento County","77.51612903225806","54.38709677419355","69.87096774193549","0.0","61.25806451612903","5.225806451612903","0.025806451612903222","13.161290322580646","38.45000000000002","-121.34000000000006"
"2016-05","Santa Barbara County","70.58064516129032","50.12903225806452","64.35483870967742","0.0","68.3225806451613","6.741935483870968","0.016129032258064516","13.077419354838709","34.539999999999985","-120.03999999999998"
"2016-05","Shasta County","73.70967741935483","47.064516129032256","66.35483870967742","0.0","59.70967741935484","4.0","0.05161290322580645","13.399999999999997","40.76","-122.03999999999998"
"2016-06","Sacramento County","92.06666666666666","60.2","81.73333333333333","0.0","43.43333333333333","5.466666666666667","0.0","14.326666666666664","38.45000000000002","-121.34000000000006"
"2016-06","Santa Barbara County","83.73333333333333","58.333333333333336","76.76666666666667","0.0","47.46666666666667","6.133333333333334","0.0033333333333333335","14.213333333333331","34.539999999999985","-120.03999999999998"
