"county","Year","Month","ndvi"
"Santa Barbara","2015","8","0.6001000000000001"
"Shasta","2015","8","0.68865"
"Sacramento","2015","9","0.3267"
"Santa Barbara","2015","9","0.61095"
"Shasta","2015","9","0.6847000000000001"
"Sacramento","2015","10","0.3375"
"Santa Barbara","2015","10","0.5827"
"Shasta","2015","10","0.6939000000000001"
"Sacramento","2015","11","0.36945"
"Santa Barbara","2015","11","0.59935"
"Shasta","2015","11","0.70855"
"Sacramento","2015","12","0.47640000000000005"
"Santa Barbara","2015","12","0.6013000000000001"
"Shasta","2015","12","0.7069000000000001"
"Sacramento","2016","1","0.51795"
"Santa Barbara","2016","1","0.59295"
"Shasta","2016","1","0.6873"
"Sacramento","2016","2","0.606"
"Santa Barbara","2016","2","0.6665"
"Shasta","2016","2","0.6111"
"Sacramento","2016","3","0.6388"
"Santa Barbara","2016","3","0.7183"
"Shasta","2016","3","0.69715"
"Sacramento","2016","4","0.55015"
"Santa Barbara","2016","4","0.7062"
"Shasta","2016","4","0.7343000000000001"
"Sacramento","2016","5","0.393"
"Santa Barbara","2016","5","0.678"
"Shasta","2016","5","0.7581"
"Sacramento","2016","6","0.30770000000000003"
"Santa Barbara","2016","6","0.62215"
"Shasta","2016","6","0.7635000000000001"
"Sacramento","2016","7","0.312"
"Santa Barbara","2016","7","0.6011000000000001"
"Shasta","2016","7","0.7199"
"Sacramento","2016","8","0.3022"
"Santa Barbara","2016","8","0.58525"
"Shasta","2016","8","0.6942"
"Sacramento","2016","9","0.30660000000000004"
"Santa Barbara","2016","9","0.5988"
"Shasta","2016","9","0.6928500000000001"
"Sacramento","2016","10","0.437"
"Santa Barbara","2016","10","0.62475"
"Shasta","2016","10","0.7095"
"Sacramento","2016","11","0.6171"
"Santa Barbara","2016","11","0.5940000000000001"
"Shasta","2016","11","0.7061000000000001"
"Sacramento","2016","12","0.6239"
"Santa Barbara","2016","12","0.64475"
"Shasta","2016","12","0.70325"
"Sacramento","2017","1","0.64325"
"Santa Barbara","2017","1","0.6698500000000001"
"Shasta","2017","1","0.72355"
"Sacramento","2017","2","0.62285"
"Santa Barbara","2017","2","0.682"
"Shasta","2017","2","0.7048"
"Sacramento","2017","3","0.6255000000000001"
"Santa Barbara","2017","3","0.6835"
"Shasta","2017","3","0.6869000000000001"
"Sacramento","2017","4","0.58775"
"Santa Barbara","2017","4","0.6801"
"Shasta","2017","4","0.7302000000000001"
"Sacramento","2017","5","0.42785"
"Santa Barbara","2017","5","0.6452"
"Shasta","2017","5","0.7622"
"Sacramento","2017","6","0.33390000000000003"
"Santa Barbara","2017","6","0.6484500000000001"
"Shasta","2017","6","0.73875"
"Sacramento","2017","7","0.31120000000000003"
"Santa Barbara","2017","7","0.6272500000000001"
"Shasta","2017","7","0.70135"
"Sacramento","2017","8","0.3126"
"Santa Barbara","2017","8","0.6059"
"Shasta","2017","8","0.7158"
"Sacramento","2017","9","0.30865000000000004"
"Santa Barbara","2017","9","0.6121500000000001"
"Shasta","2017","9","0.66425"
"Sacramento","2017","10","0.37770000000000004"
"Santa Barbara","2017","10","0.5971000000000001"
"Shasta","2017","10","0.6648000000000001"
"Sacramento","2017","11","0.36615000000000003"
"Santa Barbara","2017","11","0.62315"
"Shasta","2017","11","0.66245"
"Sacramento","2017","12","0.48085"
"Santa Barbara","2017","12","0.58575"
"Shasta","2017","12","0.7104"
"Sacramento","2018","1","0.57355"
"Santa Barbara","2018","1","0.63165"
"Shasta","2018","1","0.7187"
"Sacramento","2018","2","0.6291"
"Santa Barbara","2018","2","0.65115"
"Shasta","2018","2","0.70855"
"Sacramento","2018","3","0.58245"
"Santa Barbara","2018","3","0.6814"
"Shasta","2018","3","0.6877"
"Sacramento","2018","4","0.5908"
"Santa Barbara","2018","4","0.6796500000000001"
"Shasta","2018","4","0.7424000000000001"
"Sacramento","2018","5","0.41045000000000004"
"Santa Barbara","2018","5","0.67405"
"Shasta","2018","5","0.8114"
"Sacramento","2018","6","0.3224"
"Santa Barbara","2018","6","0.6474000000000001"
"Shasta","2018","6","0.7363000000000001"
"Sacramento","2018","7","0.3069"
"Santa Barbara","2018","7","0.62365"
"Shasta","2018","7","0.763"
"Sacramento","2018","8","0.32075000000000004"
"Santa Barbara","2018","8","0.5973"
"Shasta","2018","8","0.69255"
"Sacramento","2018","9","0.32435"
"Santa Barbara","2018","9","0.6103000000000001"
"Shasta","2018","9","0.6969500000000001"
"Sacramento","2018","10","0.3259"
"Santa Barbara","2018","10","0.6736000000000001"
"Shasta","2018","10","0.6958000000000001"
"Sacramento","2018","11","0.34165"
"Santa Barbara","2018","11","0.6227"
"Shasta","2018","11","0.65995"
"Sacramento","2018","12","0.4514"
"Santa Barbara","2018","12","0.6316"
"Shasta","2018","12","0.6919000000000001"
"Sacramento","2019","1","0.48005000000000003"
"Santa Barbara","2019","1","0.6990000000000001"
"Shasta","2019","1","0.7105"
"Sacramento","2019","2","0.5327500000000001"
"Santa Barbara","2019","2","0.68225"
"Shasta","2019","2","0.6169"
"Sacramento","2019","3","0.6054"
"Santa Barbara","2019","3","0.66635"
"Shasta","2019","3","0.66745"
"Sacramento","2019","4","0.60305"
"Santa Barbara","2019","4","0.7305"
"Shasta","2019","4","0.7061000000000001"
"Sacramento","2019","5","0.4243"
"Santa Barbara","2019","5","0.7265"
"Shasta","2019","5","0.7846500000000001"
"Sacramento","2019","6","0.3704"
"Santa Barbara","2019","6","0.68815"
"Shasta","2019","6","0.7715000000000001"
"Sacramento","2019","7","0.3423"
"Santa Barbara","2019","7","0.66845"
"Shasta","2019","7","0.7264"
"Sacramento","2019","8","0.33685000000000004"
"Santa Barbara","2019","8","0.7320500000000001"
"Shasta","2019","8","0.7205"
"Sacramento","2019","9","0.34235000000000004"
"Santa Barbara","2019","9","0.6485000000000001"
"Shasta","2019","9","0.7313500000000001"
"Sacramento","2019","10","0.3073"
"Santa Barbara","2019","10","0.6419"
"Shasta","2019","10","0.6787000000000001"
"Sacramento","2019","11","0.3179"
"Santa Barbara","2019","11","0.5940000000000001"
"Shasta","2019","11","0.6837500000000001"
"Sacramento","2019","12","0.3996"
"Santa Barbara","2019","12","0.6893"
"Shasta","2019","12","0.7091500000000001"
"Sacramento","2020","1","0.50025"
"Santa Barbara","2020","1","0.67345"
"Shasta","2020","1","0.5910000000000001"
"Sacramento","2020","2","0.54255"
"Santa Barbara","2020","2","0.6923"
"Shasta","2020","2","0.6303500000000001"
"Sacramento","2020","3","0.5809000000000001"
"Santa Barbara","2020","3","0.6879000000000001"
"Shasta","2020","3","0.6676000000000001"
"Sacramento","2020","4","0.5211"
"Santa Barbara","2020","4","0.6989000000000001"
"Shasta","2020","4","0.73865"
"Sacramento","2020","5","0.36310000000000003"
"Santa Barbara","2020","5","0.6776"
"Shasta","2020","5","0.7734500000000001"
"Sacramento","2020","6","0.3373"
"Santa Barbara","2020","6","0.7253000000000001"
"Shasta","2020","6","0.7667"
"Sacramento","2020","7","0.30795"
"Santa Barbara","2020","7","0.68095"
"Shasta","2020","7","0.7247"
"Sacramento","2020","8","0.3425"
"Santa Barbara","2020","8","0.6624"
"Shasta","2020","8","0.71025"
"Sacramento","2020","9","0.34340000000000004"
"Santa Barbara","2020","9","0.6428"
"Shasta","2020","9","0.6912"
"Sacramento","2020","10","0.31920000000000004"
"Santa Barbara","2020","10","0.6353500000000001"
"Shasta","2020","10","0.68845"
"Sacramento","2020","11","0.3769"
"Santa Barbara","2020","11","0.649"
"Shasta","2020","11","0.6751"
"Sacramento","2020","12","0.3628"
"Santa Barbara","2020","12","0.6204000000000001"
"Shasta","2020","12","0.64705"
