"UNIT_ID","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","REPORT_AC","GIS_ACRES","SHAPE_Length","SHAPE_Area"
"Shasta County","S2 COAL","2015-07","2015/07/10 00:00:00+00","1.0","30.0","29.952766","3215.61338265566","212749.621813987"
"Shasta County","SHINN","2015-06","2015/07/06 00:00:00+00","1.0","111.0","110.80151","4351.93641790425","780114.385666198"
"Shasta County","S1 DUCK","2015-08","2015/08/18 00:00:00+00","1.0","","30.089987","2385.76151767532","213841.336379248"
"Santa Barbara County","BURSON","2015-09","2015/09/04 00:00:00+00","2.0","27.0","18.239378","2428.22187851688","108881.682749239"
"Santa Barbara County","CHORRO","2015-08","2015/08/11 00:00:00+00","2.0","282.0","273.81992","9996.46533817533","1639548.48128628"
"Santa Barbara County","GIBRALTAR","2015-10","2015/11/04 00:00:00+00","9.0","21.0","21.0506","1549.52499753324","125670.405925846"
"Santa Barbara County","CAT","2016-06","2016/06/27 00:00:00+00","11.0","19.8","19.744371","1632.58490871212","118762.868929518"
"Santa Barbara County","BAR","2016-08","2016/08/24 00:00:00+00","14.0","17.9","17.844017","1774.63039549447","106501.285671983"
"Santa Barbara County","COLEMAN","2016-06","2016/06/21 00:00:00+00","5.0","2520.0","2522.6387","36724.3141289791","15679234.0551828"
"Santa Barbara County","SHERPA ","2016-06","2016/07/11 00:00:00+00","9.0","7474.0","7465.7515","50070.3397093859","44587072.1189253"
"Santa Barbara County","REY","2016-08","2016/09/15 00:00:00+00","9.0","32606.0","32580.436","167261.430551705","194972416.780622"
"Santa Barbara County","PINE","2016-06","2016/12/15 00:00:00+00","4.0","2304.0","2300.2546","39191.892489347","13784500.1239536"
"Santa Barbara County","AIR","2017-09","2017/09/25 00:00:00+00","2.0","149.0","147.83752","6209.63324485197","885189.910645773"
"Santa Barbara County","BELL","2017-08","2017/08/05 00:00:00+00","7.0","32.0","34.689728","2825.06971505147","209450.955488158"
"Santa Barbara County","CEBRIAM","2017-06","2017/06/25 00:00:00+00","11.0","260.0","269.1116","6851.53278526997","1624235.72221131"
"Santa Barbara County","TRAIL","2017-06","2017/06/23 00:00:00+00","9.0","12.0","11.72539","1797.79099534964","70354.9163073565"
"Santa Barbara County","WOODCHOPPER 1","2018-07","2018/07/17 00:00:00+00","11.0","23.0","19.23786","2202.7841719789","115487.977073854"
"Santa Barbara County","RUCKER","2017-09","2017/10/04 00:00:00+00","10.0","444.0","429.70416","15120.1976845947","2579300.52878963"
"Santa Barbara County","WOODCHOPPER 2","2017-12","2017/12/08 00:00:00+00","11.0","24.0","25.131676","1954.42072869268","150879.931662569"
"Santa Barbara County","ARMOUR","2017-07","2017/07/27 00:00:00+00","10.0","10.0","10.082671","1429.46436243082","60379.6174935114"
"Santa Barbara County","WASIOJA","2018-05","2018/05/22 00:00:00+00","11.0","190.0","189.53737","5519.22012341426","1144194.50913199"
"Santa Barbara County","VINEYARD","2017-04","2017/04/30 00:00:00+00","11.0","12.0","12.27624","2473.84684831547","73729.1806512615"
"Santa Barbara County","WESTERLY","2017-08","2017/08/12 00:00:00+00","11.0","25.0","25.668158","2125.10568810796","153896.251690313"
"Santa Barbara County","CAT","2017-12","2017/12/05 00:00:00+00","11.0","15.0","15.883323","1752.28529655968","95588.3007680037"
"Santa Barbara County","HWY_1","2017-12","2017/12/14 00:00:00+00","11.0","14.0","13.045654","1630.37108114135","78084.2986454324"
"Santa Barbara County","DRUM","2017-12","2017/12/16 00:00:00+00","9.0","13.0","13.538693","1267.29926127521","81286.7308130881"
"Santa Barbara County","MESA","2017-07","2017/07/17 00:00:00+00","2.0","50.0","51.363163","3769.93078414295","308778.946673968"
"Shasta County","R-4 PARSNIP","2017-08","2017/09/15 00:00:00+00","1.0","0.0","18601.98","94536.6430737667","131169145.052986"
"Shasta County","W-2 LIKELY","2017-08","2017/08/23 00:00:00+00","1.0","0.0","10.329426","1409.61877860857","73887.3850988891"
"Shasta County","WEST","2017-04","2017/04/03 00:00:00+00","5.0","0.0","401.28772","7878.63394639248","2880391.81259065"
"Shasta County","RIVER","2017-06","2017/06/05 00:00:00+00","14.0","0.0","71.229919","4945.5343839894","492440.025814045"
"Shasta County","SHAFFER","2017-06","2017/06/23 00:00:00+00","1.0","0.0","59.038818","3381.64675576261","412324.700441722"
"Shasta County","LONG VALLEY","2017-07","2017/07/27 00:00:00+00","10.0","0.0","83581.414","254095.86251428","577257450.156094"
"Shasta County","R-10 PAINTER","2017-07","2017/07/27 00:00:00+00","1.0","0.0","83.834198","7165.16212268481","591685.029549679"
"Shasta County","R-2 SCHAFFER","2017-07","2017/07/30 00:00:00+00","1.0","0.0","26.493879","2630.98659269986","185359.518419482"
"Shasta County","R-9 SHINN","2017-07","2017/07/27 00:00:00+00","1.0","0.0","278.1283","8315.81442740422","1958399.77922862"
"Shasta County","R-4 RANCH","2017-08","2017/08/12 00:00:00+00","1.0","0.0","120.25045","5158.13443128983","839595.5313172"
"Shasta County","R-3 MUD","2017-08","2017/08/26 00:00:00+00","1.0","0.0","99.573639","5663.09224280127","698691.649202304"
"Shasta County","R-5 STONEY","2017-08","2017/08/27 00:00:00+00","1.0","0.0","203.96814","12428.1839874062","1431517.15067717"
"Shasta County","R-9 FREDONYER","2017-08","2017/08/25 00:00:00+00","1.0","0.0","22.033934","1691.51153908744","155586.93466389"
"Shasta County","PEG","2017-08","2017/08/27 00:00:00+00","9.0","0.0","148.60083","6219.77261902839","1050903.33513256"
"Shasta County","CHERRY","2017-08","2017/08/30 00:00:00+00","1.0","0.0","24.911949","3837.23795477059","175210.784076884"
"Shasta County","LONE","2017-08","2017/08/30 00:00:00+00","1.0","0.0","214.66414","5487.10418762858","1512559.92511851"
"Shasta County","MUD","2017-08","2017/09/11 00:00:00+00","1.0","0.0","6036.0649","30699.5418986304","42209652.6940302"
"Shasta County","R-5 SPANISH","2017-08","2017/08/31 00:00:00+00","1.0","0.0","166.8586","4288.53789310946","1178647.76348629"
"Shasta County","R-2 BUTTE WELL","2017-09","2017/09/11 00:00:00+00","1.0","0.0","17.387989","2027.3743589352","121814.835057076"
"Shasta County","W4 ROMERO","2017-08","2017/08/24 00:00:00+00","14.0","0.0","13.828908","1772.07313762219","99328.8414195111"
"Shasta County","COWHEAD","2017-10","2017/10/12 00:00:00+00","4.0","0.0","31.66678","3431.24157606199","231840.436962513"
"Shasta County","DRY VALLEY","2017-09","2017/09/14 00:00:00+00","1.0","0.0","51.238029","4260.98055413177","353563.252580715"
"Santa Barbara County","RED","2017-08","2017/08/03 00:00:00+00","1.0","451.0","450.83997","7793.61651243173","2751462.51526861"
"Santa Barbara County","WHITTIER","2017-07","2017/12/21 00:00:00+00","9.0","18431.0","18412.404","76132.4528731415","110052443.243181"
"Santa Barbara County","APACHE ","2017-05","2017/05/17 00:00:00+00","4.0","24.4","24.400581","1578.64711086688","146634.842273743"
"Santa Barbara County","POZO ","2017-10","2017/10/09 00:00:00+00","2.0","61.44","64.36557","2850.56122805584","391804.374179956"
"Santa Barbara County","HOLIDAY","2018-07","2018/07/09 00:00:00+00","14.0","110.0","118.0118","10353.1074897826","704218.098026067"
"Santa Barbara County","CRUCES","2018-07","2018/07/19 00:00:00+00","10.0","80.0","77.553047","5134.49404487766","463482.182893809"
"Santa Barbara County","WINDMILL","2018-07","2018/07/23 00:00:00+00","2.0","100.0","90.146996","5155.64538424979","540224.392802099"
"Santa Barbara County","HAPPY","2018-05","2018/05/17 00:00:00+00","11.0","60.0","59.465137","2910.19795231164","356321.702302664"
"Santa Barbara County","FRONT","2018-08","2018/11/07 00:00:00+00","9.0","1014.0","1014.5043","17214.5030047355","6143249.40407182"
"Santa Barbara County","ADAMS","2018-07","2018/08/01 00:00:00+00","1.0","13.3","19.003458","1932.65878008997","114041.953470913"
"Santa Barbara County","CANYON","2018-06","2018/07/14 00:00:00+00","2.0","62.0","62.00304","4159.13788547403","370833.165670131"
"Santa Barbara County","OGILVY","2018-09","2018/10/16 00:00:00+00","1.0","172.0","165.36458","7501.94156766876","989082.633310307"
"Shasta County","TUMBLEWEED","2018-06","2018/06/19 00:00:00+00","10.0","645.7","645.41144","14778.2053823464","4507079.97921412"
"Shasta County","EAGLE","2018-07","2018/08/06 00:00:00+00","2.0","2066.0","2097.8755","18179.7783321201","15040918.0347007"
"Shasta County","LIKELY","2018-08","2018/08/07 00:00:00+00","10.0","15.7","16.192053","1806.16309192034","116155.170307387"
"Shasta County","CONSTANTIA","2018-08","2018/08/06 00:00:00+00","","","11.728822","1606.83953565212","80896.5720089151"
"Santa Barbara County","MCMURRAY","2019-09","2019/09/14 00:00:00+00","14.0","200.0","355.32288","13024.5537905464","2129982.65174467"
"Santa Barbara County","REAL","2019-10","2019/10/21 00:00:00+00","14.0","420.0","420.6586","8608.85786435363","2510906.66847798"
"Santa Barbara County","BAR","2019-11","2019/11/13 00:00:00+00","18.0","20.0","51.626499","3828.80681807059","309784.662616602"
"Santa Barbara County","SWEENEY","2019-08","2019/08/14 00:00:00+00","14.0","17.0","16.980272","1363.54399058278","101744.943861047"
"Shasta County","W-1 MCDONALD","2019-08","2019/08/12 00:00:00+00","1.0","1020.0","1020.3251","23270.5288632056","7250457.40437323"
"Shasta County","COPPER","2019-09","2019/09/12 00:00:00+00","1.0","20.2","20.231287","2425.04243254084","144188.146310743"
"Shasta County","HORSE","2019-10","2019/10/16 00:00:00+00","1.0","54.7","54.572514","4713.97749331935","381618.040314075"
"Shasta County","HORSE","2019-08","2019/08/26 00:00:00+00","1.0","130.0","123.05126","5835.27501637053","863653.717324676"
"Shasta County","R1 JUNIPER","2019-08","2019/08/11 00:00:00+00","1.0","130.0","130.14069","5171.72679051387","922279.929746995"
"Shasta County","R2 RAVEN","2019-08","2019/08/13 00:00:00+00","1.0","11.0","10.846578","1582.33793591023","76714.2259070265"
"Shasta County","R1 RANCH","2019-08","2019/09/04 00:00:00+00","1.0","3343.0","3379.2861","38715.9099422221","23743970.3143451"
"Shasta County","R4 RAILROAD","2019-08","2019/08/13 00:00:00+00","1.0","24.1","24.105974","2574.60026243953","169542.073826295"
"Shasta County","R3 RYE PATCH","2019-07","2019/07/28 00:00:00+00","1.0","14.0","14.148462","2203.72654953577","99687.0826619617"
"Shasta County","R6 CREEK","2019-09","2019/09/13 00:00:00+00","1.0","257.0","66.479622","2935.46734231142","469182.092086349"
"Shasta County","R2 SNOWSTORM","2019-06","2019/06/19 00:00:00+00","1.0","23.7","23.711695","2714.53110881734","166672.916564356"
"Shasta County","SNOWSTORM","2019-07","2019/07/21 00:00:00+00","1.0","263.0","264.27466","6534.33629390579","1857302.67920859"
"Santa Barbara County","MILL","2019-07","2019/09/02 00:00:00+00","9.0","311.0","321.53876","7506.35015055895","1992600.15264635"
"Santa Barbara County","RANCH","2019-10","2019/10/10 00:00:00+00","2.0","50.0","55.306419","3353.77634973506","335857.946129485"
"Santa Barbara County","RANGE","2019-07","2019/08/05 00:00:00+00","9.0","100.0","99.083054","3469.4071568202","594398.318173375"
"Santa Barbara County","OAK FLAT","2019-05","2019/08/27 00:00:00+00","9.0","30.1","30.35799","2420.3483003229","181619.157518832"
"Santa Barbara County","SNAIL","2019-09","2019/09/13 00:00:00+00","2.0","279.0","251.7925","7439.21487255186","1511326.42816681"
"Santa Barbara County","CAVE","2019-11","2019/12/14 00:00:00+00","7.0","3126.0","3125.9055","38512.2135101773","18664766.9282013"
